Protein,Rank,Ligand_File,CID,Best_Affinity
AF-Q9LIK9-F1-model_v6,57,7 Conformer3D_COMPOUND_CID_71441023_out.pdbqt,71441023,-5.827
AF-Q9LIK9-F1-model_v6,58,85 Conformer3D_COMPOUND_CID_56633199_out.pdbqt,56633199,-5.787
AF-Q9LIK9-F1-model_v6,59,108 Conformer3D_COMPOUND_CID_54675850_out.pdbqt,54675850,-5.75
AF-Q9LIK9-F1-model_v6,60,116 Conformer3D_COMPOUND_CID_5147_out.pdbqt,5147,-5.724
AF-Q9LIK9-F1-model_v6,61,49 Conformer3D_COMPOUND_CID_573652_out.pdbqt,573652,-5.721
AF-Q9LIK9-F1-model_v6,62,120 Conformer3D_COMPOUND_CID_12243705_out.pdbqt,12243705,-5.712
AF-Q9LIK9-F1-model_v6,63,94 Conformer3D_COMPOUND_CID_978_out.pdbqt,978,-5.711
AF-Q9LIK9-F1-model_v6,64,44 Conformer3D_COMPOUND_CID_17862778_out.pdbqt,17862778,-5.711
AF-Q9LIK9-F1-model_v6,65,86 Conformer3D_COMPOUND_CID_980_out.pdbqt,980,-5.656
AF-Q9LIK9-F1-model_v6,66,41 Conformer3D_COMPOUND_CID_155803953_out.pdbqt,155803953,-5.637
AF-Q9LIK9-F1-model_v6,67,107 Conformer3D_COMPOUND_CID_338_out.pdbqt,338,-5.618
AF-Q9LIK9-F1-model_v6,68,50 Conformer3D_COMPOUND_CID_10261_out.pdbqt,10261,-5.616
AF-Q9LIK9-F1-model_v6,69,8 Conformer3D_COMPOUND_CID_71380131_out.pdbqt,71380131,-5.576
AF-Q9LIK9-F1-model_v6,70,42 Conformer3D_COMPOUND_CID_71309006_out.pdbqt,71309006,-5.567
AF-Q9LIK9-F1-model_v6,71,81 Conformer3D_COMPOUND_CID_85065_out.pdbqt,85065,-5.49
AF-Q9LIK9-F1-model_v6,72,2 Conformer3D_COMPOUND_CID_15155595_out.pdbqt,15155595,-5.431
AF-Q9LIK9-F1-model_v6,73,72 Conformer3D_COMPOUND_CID_9605288_out.pdbqt,9605288,-5.399
AF-Q9LIK9-F1-model_v6,74,102 Conformer3D_COMPOUND_CID_2230_out.pdbqt,2230,-5.342
AF-Q9LIK9-F1-model_v6,75,20 Conformer3D_COMPOUND_CID_15155596_out.pdbqt,15155596,-5.341
AF-Q9LIK9-F1-model_v6,76,46 Conformer3D_COMPOUND_CID_49849878_out.pdbqt,49849878,-5.319
AF-Q9LIK9-F1-model_v6,77,103 Conformer3D_COMPOUND_CID_87310_out.pdbqt,87310,-5.308
AF-Q9LIK9-F1-model_v6,78,118 Conformer3D_COMPOUND_CID_15070_out.pdbqt,15070,-5.281
AF-Q9LIK9-F1-model_v6,79,68 Conformer3D_COMPOUND_CID_135503978_out.pdbqt,135503978,-5.26
AF-Q9LIK9-F1-model_v6,80,115 Conformer3D_COMPOUND_CID_936_out.pdbqt,936,-5.229
AF-Q9LIK9-F1-model_v6,81,6 Conformer3D_COMPOUND_CID_71380130_out.pdbqt,71380130,-5.158
AF-Q9LIK9-F1-model_v6,82,119 Conformer3D_COMPOUND_CID_938_out.pdbqt,938,-5.128
AF-Q9LIK9-F1-model_v6,83,5 Conformer3D_COMPOUND_CID_71383291_out.pdbqt,71383291,-4.946
AF-Q9LIK9-F1-model_v6,84,64 Conformer3D_COMPOUND_CID_6331148_out.pdbqt,6331148,-4.683
AF-Q9LIK9-F1-model_v6,85,66 Conformer3D_COMPOUND_CID_135406888_out.pdbqt,135406888,-4.676
AF-Q9LIK9-F1-model_v6,86,69 Conformer3D_COMPOUND_CID_6331148 (1)_out.pdbqt,6331148,-4.568
AF-Q9LIK9-F1-model_v6,87,113 Conformer3D_COMPOUND_CID_996_out.pdbqt,996,-4.529
AF-Q9LIK9-F1-model_v6,88,73 Conformer3D_COMPOUND_CID_1269845_out.pdbqt,1269845,-4.447
AF-Q9LIK9-F1-model_v6,89,93 Conformer3D_COMPOUND_CID_655_out.pdbqt,655,-4.235
AF-Q9LIK9-F1-model_v6,90,79 Conformer3D_COMPOUND_CID_24955_out.pdbqt,24955,-4.16
AF-Q9LIK9-F1-model_v6,91,101 Conformer3D_COMPOUND_CID_248_out.pdbqt,248,-4.121
AF-Q9LIK9-F1-model_v6,92,100 Conformer3D_COMPOUND_CID_247_out.pdbqt,247,-4.076
AF-Q9LIK9-F1-model_v6,93,17 Conformer3D_COMPOUND_CID_139618_out.pdbqt,139618,-3.992
AF-Q9LIK9-F1-model_v6,94,84 Conformer3D_COMPOUND_CID_53438496_out.pdbqt,53438496,-3.98
AF-Q9LIK9-F1-model_v6,95,95 Conformer3D_COMPOUND_CID_25581_out.pdbqt,25581,-3.922
AF-Q9LIK9-F1-model_v6,96,3 Conformer3D_COMPOUND_CID_77385_out.pdbqt,77385,-3.899
AF-Q9LIK9-F1-model_v6,97,18 Conformer3D_COMPOUND_CID_82267_out.pdbqt,82267,-3.788
AF-Q9LIK9-F1-model_v6,98,57 Conformer3D_COMPOUND_CID_753_out.pdbqt,753,-3.76
AF-Q9LIK9-F1-model_v6,99,99 Conformer3D_COMPOUND_CID_1118_out.pdbqt,1118,-3.722
AF-Q9LIK9-F1-model_v6,100,92 Conformer3D_COMPOUND_CID_6405_out.pdbqt,6405,-3.709
AF-Q9LIK9-F1-model_v6,101,22 Conformer3D_COMPOUND_CID_1117_out.pdbqt,1117,-3.581
AF-Q9LIK9-F1-model_v6,102,75 Conformer3D_COMPOUND_CID_108022_out.pdbqt,108022,-3.567
AF-Q9LIK9-F1-model_v6,103,76 Conformer3D_COMPOUND_CID_2146 (1)_out.pdbqt,2146,-3.498
